Function Name,Parameters,Source File,Line Number
HANDLE:UnregisterAutoHide,,Blizzard_FrameXML\RestrictedFrames.lua,623
HANDLE:AddToAutoHide,handle,Blizzard_FrameXML\RestrictedFrames.lua,627
HANDLE:Disable,,Blizzard_FrameXML\RestrictedFrames.lua,645
HANDLE:Enable,,Blizzard_FrameXML\RestrictedFrames.lua,654
SoftError_inner,message,Blizzard_FrameXML\RestrictedFrames.lua,668
SoftError,message,Blizzard_FrameXML\RestrictedFrames.lua,673
HANDLE:Run,"body, ...",Blizzard_FrameXML\RestrictedFrames.lua,677
HANDLE:RunFor,"otherHandle, body, ...",Blizzard_FrameXML\RestrictedFrames.lua,698
HANDLE:RunAttribute,"snippetAttr, ...",Blizzard_FrameXML\RestrictedFrames.lua,717
HANDLE:ChildUpdate,"snippetid, message",Blizzard_FrameXML\RestrictedFrames.lua,773
CallMethod_inner,"frame, methodName, ...",Blizzard_FrameXML\RestrictedFrames.lua,783
HANDLE:CallMethod,"methodName, ...",Blizzard_FrameXML\RestrictedFrames.lua,797
IsFrameHandle,"handle, protected",Blizzard_FrameXML\RestrictedInfrastructure.lua,91
GetFrameHandleFrame,"handle, protected, onlyProtected",Blizzard_FrameXML\RestrictedInfrastructure.lua,99
FrameHandleLookup_index,"t, frame",Blizzard_FrameXML\RestrictedInfrastructure.lua,112
GetFrameHandle,"frame, protected",Blizzard_FrameXML\RestrictedInfrastructure.lua,133
InitFrameHandleNamespace,namespace,Blizzard_FrameXML\RestrictedInfrastructure.lua,146
__len,t,Blizzard_FrameXML\RestrictedInfrastructure.lua,242
CheckReadonlyValue,ret,Blizzard_FrameXML\RestrictedInfrastructure.lua,218
RestrictedTable_Readonly_index,"t, k",Blizzard_FrameXML\RestrictedInfrastructure.lua,265
RestrictedTable_create,...,Blizzard_FrameXML\RestrictedInfrastructure.lua,287
GetReadonlyRestrictedTable,ref,Blizzard_FrameXML\RestrictedInfrastructure.lua,308
IsWritableRestrictedTable,ref,Blizzard_FrameXML\RestrictedInfrastructure.lua,321
RestrictedTable_next,"T, k",Blizzard_FrameXML\RestrictedInfrastructure.lua,333
RestrictedTable_pairs,T,Blizzard_FrameXML\RestrictedInfrastructure.lua,354
RestrictedTable_ipairsaux,"T, i",Blizzard_FrameXML\RestrictedInfrastructure.lua,366
RestrictedTable_ipairs,T,Blizzard_FrameXML\RestrictedInfrastructure.lua,378
RestrictedTable_unpack_ro,...,Blizzard_FrameXML\RestrictedInfrastructure.lua,389
RestrictedTable_unpack,T,Blizzard_FrameXML\RestrictedInfrastructure.lua,401
RestrictedTable_wipe,T,Blizzard_FrameXML\RestrictedInfrastructure.lua,415
RestrictedTable_maxn,T,Blizzard_FrameXML\RestrictedInfrastructure.lua,435
RestrictedTable_concat,T,Blizzard_FrameXML\RestrictedInfrastructure.lua,446
RestrictedTable_sort,"T, func",Blizzard_FrameXML\RestrictedInfrastructure.lua,457
RestrictedTable_insert,"T, ...",Blizzard_FrameXML\RestrictedInfrastructure.lua,477
RestrictedTable_remove,"T, pos",Blizzard_FrameXML\RestrictedInfrastructure.lua,502
RestrictedTable_type,obj,Blizzard_FrameXML\RestrictedInfrastructure.lua,521
RestrictedTable_rtgsub,"s, pattern, repl, n",Blizzard_FrameXML\RestrictedInfrastructure.lua,534
ManagedEnvironmentsIndex,"t, k",Blizzard_FrameXML\RestrictedInfrastructure.lua,572
GetManagedEnvironment,"envKey, withCreate",Blizzard_FrameXML\RestrictedInfrastructure.lua,603
RewardTrackFrameMixin:OnLoad,,Blizzard_FrameXML\RewardTrackTemplates.lua,18
RewardTrackFrameMixin:OnHide,,Blizzard_FrameXML\RewardTrackTemplates.lua,32
RewardTrackFrameMixin:Init,elementList,Blizzard_FrameXML\RewardTrackTemplates.lua,38
RewardTrackFrameMixin:GetElements,,Blizzard_FrameXML\RewardTrackTemplates.lua,63
RewardTrackFrameMixin:OnUpdate,elapsed,Blizzard_FrameXML\RewardTrackTemplates.lua,67
RewardTrackFrameMixin:SetSelection,"index, forceRefresh, skipSound, overrideStopSound",Blizzard_FrameXML\RewardTrackTemplates.lua,101
RewardTrackFrameMixin:RefreshView,,Blizzard_FrameXML\RewardTrackTemplates.lua,122
RewardTrackFrameMixin:GetCenterIndex,,Blizzard_FrameXML\RewardTrackTemplates.lua,140
RewardTrackFrameMixin:GetDesiredAlphaForIndex,index,Blizzard_FrameXML\RewardTrackTemplates.lua,144
RewardTrackFrameMixin:GetAbsoluteOffsetForIndex,index,Blizzard_FrameXML\RewardTrackTemplates.lua,155
RewardTrackFrameMixin:GetMaxOffset,,Blizzard_FrameXML\RewardTrackTemplates.lua,159
RewardTrackFrameMixin:GetClosestIndexToCenter,,Blizzard_FrameXML\RewardTrackTemplates.lua,164
RewardTrackFrameMixin:GetDistanceFromCenterForIndex,index,Blizzard_FrameXML\RewardTrackTemplates.lua,170
RewardTrackFrameMixin:StartScroll,direction,Blizzard_FrameXML\RewardTrackTemplates.lua,174
RewardTrackFrameMixin:StopScroll,direction,Blizzard_FrameXML\RewardTrackTemplates.lua,179
RewardTrackFrameMixin:RequestStop,,Blizzard_FrameXML\RewardTrackTemplates.lua,202
RewardTrackButtonMixin:OnLoad,,Blizzard_FrameXML\RewardTrackTemplates.lua,210
RewardTrackButtonMixin:OnMouseDown,,Blizzard_FrameXML\RewardTrackTemplates.lua,219
RewardTrackButtonMixin:OnMouseUp,,Blizzard_FrameXML\RewardTrackTemplates.lua,229
RewardTrackButtonMixin:OnDisable,,Blizzard_FrameXML\RewardTrackTemplates.lua,236
RewardTrackJumpButtonMixin:OnLoad,,Blizzard_FrameXML\RewardTrackTemplates.lua,243
RewardTrackJumpButtonMixin:OnClick,,Blizzard_FrameXML\RewardTrackTemplates.lua,252
RewardTrackSkipLevelUpButtonMixin:OnClick,,Blizzard_FrameXML\RewardTrackTemplates.lua,278
RenownLevelMixin:SetInfo,info,Blizzard_FrameXML\RewardTrackTemplates.lua,289
RenownLevelMixin:GetLevel,,Blizzard_FrameXML\RewardTrackTemplates.lua,294
RenownLevelMixin:TryInit,,Blizzard_FrameXML\RewardTrackTemplates.lua,298
RenownLevelMixin:Refresh,"actualLevel, displayLevel, selected",Blizzard_FrameXML\RewardTrackTemplates.lua,322
RenownLevelMixin:SetIcon,,Blizzard_FrameXML\RewardTrackTemplates.lua,364
RenownLevelMixin:ApplyAlpha,alpha,Blizzard_FrameXML\RewardTrackTemplates.lua,369
RenownLevelMixin:OnMouseUp,,Blizzard_FrameXML\RewardTrackTemplates.lua,373
RenownLevelMixin:OnEnter,,Blizzard_FrameXML\RewardTrackTemplates.lua,379
RenownLevelMixin:RefreshTooltip,,Blizzard_FrameXML\RewardTrackTemplates.lua,384
RolePollPopup_OnLoad,self,Blizzard_FrameXML\RolePoll.lua,1
RolePollPopup_OnEvent,"self, event, ...",Blizzard_FrameXML\RolePoll.lua,5
RolePollPopup_Show,self,Blizzard_FrameXML\RolePoll.lua,13
RolePollPopup_UpdateChecked,self,Blizzard_FrameXML\RolePoll.lua,40
RolePollPopupRoleButton_Enable,button,Blizzard_FrameXML\RolePoll.lua,52
RolePollPopupRoleButton_Disable,button,Blizzard_FrameXML\RolePoll.lua,62
RolePollPopupRoleButtonCheckButton_OnClick,"self, button",Blizzard_FrameXML\RolePoll.lua,72
RolePollPopupAccept_OnClick,"self, button",Blizzard_FrameXML\RolePoll.lua,84
RoleChangedFrame_OnLoad,self,Blizzard_FrameXML\RolePoll.lua,90
RoleChangedFrame_OnEvent,"self, event, ...",Blizzard_FrameXML\RolePoll.lua,94
SecureGroupHeader_OnLoad,self,Blizzard_FrameXML\SecureGroupHeaders.lua,55
SecureGroupHeader_OnEvent,"self, event, ...",Blizzard_FrameXML\SecureGroupHeaders.lua,60
SecureGroupHeader_OnAttributeChanged,"self, name, value",Blizzard_FrameXML\SecureGroupHeaders.lua,66
getRelativePointAnchor,point,Blizzard_FrameXML\SecureGroupHeaders.lua,78
setAttributesWithoutResponse,"self, ...",Blizzard_FrameXML\SecureGroupHeaders.lua,101
SetupUnitButtonConfiguration,"header, newChild, defaultConfigFunction",Blizzard_FrameXML\SecureGroupHeaders.lua,110
configureChildren,"self, unitTable",Blizzard_FrameXML\SecureGroupHeaders.lua,130
GetGroupHeaderType,self,Blizzard_FrameXML\SecureGroupHeaders.lua,260
GetGroupRosterInfo,"kind, index",Blizzard_FrameXML\SecureGroupHeaders.lua,288
fillTable,"tbl, ...",Blizzard_FrameXML\SecureGroupHeaders.lua,318
doubleFillTable,"tbl, ...",Blizzard_FrameXML\SecureGroupHeaders.lua,328
sortOnGroupWithNames,"a, b",Blizzard_FrameXML\SecureGroupHeaders.lua,342
sortOnGroupWithIDs,"a, b",Blizzard_FrameXML\SecureGroupHeaders.lua,364
sortOnNames,"a, b",Blizzard_FrameXML\SecureGroupHeaders.lua,386
sortOnNameList,"a, b",Blizzard_FrameXML\SecureGroupHeaders.lua,390
SecureGroupHeader_Update,self,Blizzard_FrameXML\SecureGroupHeaders.lua,394
SecureGroupPetHeader_OnLoad,self,Blizzard_FrameXML\SecureGroupHeaders.lua,506
SecureGroupPetHeader_OnEvent,"self, event, ...",Blizzard_FrameXML\SecureGroupHeaders.lua,512
SecureGroupPetHeader_OnAttributeChanged,"self, name, value",Blizzard_FrameXML\SecureGroupHeaders.lua,518
GetPetUnit,"kind, index",Blizzard_FrameXML\SecureGroupHeaders.lua,527
SecureGroupPetHeader_Update,self,Blizzard_FrameXML\SecureGroupHeaders.lua,537
SetupAuraButtonConfiguration,"header, newChild, defaultConfigFunction",Blizzard_FrameXML\SecureGroupHeaders.lua,663
SecureAuraHeader_OnLoad,self,Blizzard_FrameXML\SecureGroupHeaders.lua,675
SecureAuraHeader_OnUpdate,self,Blizzard_FrameXML\SecureGroupHeaders.lua,679
SecureAuraHeader_OnEvent,"self, event, ...",Blizzard_FrameXML\SecureGroupHeaders.lua,689
SecureAuraHeader_OnAttributeChanged,"self, name, value",Blizzard_FrameXML\SecureGroupHeaders.lua,698
extractTemplateInfo,"template, defaultWidget",Blizzard_FrameXML\SecureGroupHeaders.lua,709
constructChild,"kind, name, parent, template",Blizzard_FrameXML\SecureGroupHeaders.lua,724
configureAuras,"self, auraTable, consolidateTable, weaponPosition",Blizzard_FrameXML\SecureGroupHeaders.lua,735
stripRAID,filter,Blizzard_FrameXML\SecureGroupHeaders.lua,881
freshTable,,Blizzard_FrameXML\SecureGroupHeaders.lua,889
releaseTable,t,Blizzard_FrameXML\SecureGroupHeaders.lua,894
sortFactory,"key, separateOwn, reverse",Blizzard_FrameXML\SecureGroupHeaders.lua,901
SecureAuraHeader_Update,self,Blizzard_FrameXML\SecureGroupHeaders.lua,961
SecureHandler_Self_Execute,"self, signature, body, ...",Blizzard_FrameXML\SecureHandlers.lua,47
SecureHandler_Other_Execute,"header, self, signature, body, ...",Blizzard_FrameXML\SecureHandlers.lua,62
SecureHandler_OnSimpleEvent,"self, snippetAttr",Blizzard_FrameXML\SecureHandlers.lua,81
SecureHandler_OnClick,"self, snippetAttr, button, down",Blizzard_FrameXML\SecureHandlers.lua,88
SecureHandler_OnMouseUpDown,"self, snippetAttr, button",Blizzard_FrameXML\SecureHandlers.lua,96
SecureHandler_OnMouseWheel,"self, snippetAttr, delta",Blizzard_FrameXML\SecureHandlers.lua,103
SecureHandler_StateOnAttributeChanged,"self, name, value",Blizzard_FrameXML\SecureHandlers.lua,110
SecureHandler_AttributeOnAttributeChanged,"self, name, value",Blizzard_FrameXML\SecureHandlers.lua,121
PickupAny,"kind, target, detail, ...",Blizzard_FrameXML\SecureHandlers.lua,133
SecureHandler_OnDragEvent,"self, snippetAttr, button",Blizzard_FrameXML\SecureHandlers.lua,166
CreateWrapClosure,"handler, header, preBody, postBody",Blizzard_FrameXML\SecureHandlers.lua,189
wrap,"self, ...",Blizzard_FrameXML\SecureHandlers.lua,199
SaveWrapHandler,"frame, script, wrap",Blizzard_FrameXML\SecureHandlers.lua,210
RestoreWrapHandler,"frame, script, wrap",Blizzard_FrameXML\SecureHandlers.lua,215
CreateWrapper,"frame, script, header, handler, preBody, postBody",Blizzard_FrameXML\SecureHandlers.lua,237
RemoveWrapper,"frame, script",Blizzard_FrameXML\SecureHandlers.lua,245
SafeCallWrappedHandler,"frame, wrap, ...",Blizzard_FrameXML\SecureHandlers.lua,263
IsWrapEligible,frame,Blizzard_FrameXML\SecureHandlers.lua,274
CreateSimpleWrapper,"beforeSignature, afterSignature",Blizzard_FrameXML\SecureHandlers.lua,353
Wrapped_Drag,"self, header, preBody, postBody, wrap, ...",Blizzard_FrameXML\SecureHandlers.lua,382
IsValidFrame,frame,Blizzard_FrameXML\SecureHandlers.lua,464
API_OnAttributeChanged,"self, name, value",Blizzard_FrameXML\SecureHandlers.lua,473
SecureHandlerWrapScript,"frame, script, header, preBody, postBody",Blizzard_FrameXML\SecureHandlers.lua,647
SecureHandlerUnwrapScript,"frame, script",Blizzard_FrameXML\SecureHandlers.lua,691
SecureHandlerExecute,"frame, body",Blizzard_FrameXML\SecureHandlers.lua,725
SecureHandlerSetFrameRef,"frame, label, refFrame",Blizzard_FrameXML\SecureHandlers.lua,747
SecureHandlerMethod_Execute,"self, body",Blizzard_FrameXML\SecureHandlers.lua,777
SecureHandlerMethod_UnwrapScript,"self, frame, script",Blizzard_FrameXML\SecureHandlers.lua,788
SecureHandlerMethod_SetFrameRef,"self, id, frame",Blizzard_FrameXML\SecureHandlers.lua,793
SecureHandler_OnLoad,self,Blizzard_FrameXML\SecureHandlers.lua,798
RectSet_Create,"l, r, b, t, TTL, S",Blizzard_FrameXML\SecureHoverDriver.lua,29
RectSet_Add,"S, NL, NR, NB, NT",Blizzard_FrameXML\SecureHoverDriver.lua,44
RectSet_IsOver,"S, X, Y",Blizzard_FrameXML\SecureHoverDriver.lua,82
GetScreenFrameRect,frame,Blizzard_FrameXML\SecureHoverDriver.lua,99
UpdateTrackedHovers,"self, elapsed",Blizzard_FrameXML\SecureHoverDriver.lua,112
SecureRegisterAutoHide,"frame, ttl",Blizzard_FrameXML\SecureHoverDriver.lua,188
SecureAddToAutoHide,"frame, child",Blizzard_FrameXML\SecureHoverDriver.lua,202
SecureUnregisterAutoHide,frame,Blizzard_FrameXML\SecureHoverDriver.lua,220
SecureHoverDriverManager_OnAttributeChanged,"self, name, value",Blizzard_FrameXML\SecureHoverDriver.lua,224
RegisterAutoHide,"frame, ttl",Blizzard_FrameXML\SecureHoverDriver.lua,262
AddToAutoHide,"frame, child",Blizzard_FrameXML\SecureHoverDriver.lua,276
UnregisterAutoHide,frame,Blizzard_FrameXML\SecureHoverDriver.lua,296
RegisterAttributeDriver,"frame, attribute, values",Blizzard_FrameXML\SecureStateDriver.lua,8
UnregisterAttributeDriver,"frame, attribute",Blizzard_FrameXML\SecureStateDriver.lua,16
RegisterStateDriver,"frame, state, values",Blizzard_FrameXML\SecureStateDriver.lua,26
UnregisterStateDriver,"frame, state",Blizzard_FrameXML\SecureStateDriver.lua,30
RegisterUnitWatch,"frame, asState",Blizzard_FrameXML\SecureStateDriver.lua,38
UnregisterUnitWatch,frame,Blizzard_FrameXML\SecureStateDriver.lua,47
UnitWatchRegistered,frame,Blizzard_FrameXML\SecureStateDriver.lua,69
SecureStateDriverManager_UpdateUnitWatch,"frame, doState",Blizzard_FrameXML\SecureStateDriver.lua,73
resolveDriver,"frame, attribute, values",Blizzard_FrameXML\SecureStateDriver.lua,95
SecureStateDriverManager_OnUpdate,"self, elapsed",Blizzard_FrameXML\SecureStateDriver.lua,119
SecureStateDriverManager_OnEvent,"self, event",Blizzard_FrameXML\SecureStateDriver.lua,142
SecureStateDriverManager_OnAttributeChanged,"self, name, value",Blizzard_FrameXML\SecureStateDriver.lua,146
DEFAULT_PET_BATTLE_ABILITY_INFO:GetAbilityID,,Blizzard_FrameXML\SharedPetBattleTemplates.lua,32
DEFAULT_PET_BATTLE_ABILITY_INFO:GetCooldown,,Blizzard_FrameXML\SharedPetBattleTemplates.lua,33
DEFAULT_PET_BATTLE_ABILITY_INFO:GetRemainingDuration,,Blizzard_FrameXML\SharedPetBattleTemplates.lua,34
DEFAULT_PET_BATTLE_ABILITY_INFO:IsInBattle,,Blizzard_FrameXML\SharedPetBattleTemplates.lua,35
DEFAULT_PET_BATTLE_ABILITY_INFO:GetHealth,target,Blizzard_FrameXML\SharedPetBattleTemplates.lua,36
DEFAULT_PET_BATTLE_ABILITY_INFO:GetMaxHealth,target,Blizzard_FrameXML\SharedPetBattleTemplates.lua,37
DEFAULT_PET_BATTLE_ABILITY_INFO:GetAttackStat,target,Blizzard_FrameXML\SharedPetBattleTemplates.lua,38
DEFAULT_PET_BATTLE_ABILITY_INFO:GetSpeedStat,target,Blizzard_FrameXML\SharedPetBattleTemplates.lua,39
DEFAULT_PET_BATTLE_ABILITY_INFO:GetState,"stateID, target",Blizzard_FrameXML\SharedPetBattleTemplates.lua,40
DEFAULT_PET_BATTLE_ABILITY_INFO:GetWeatherState,stateID,Blizzard_FrameXML\SharedPetBattleTemplates.lua,41
DEFAULT_PET_BATTLE_ABILITY_INFO:GetPadState,stateID,Blizzard_FrameXML\SharedPetBattleTemplates.lua,42
DEFAULT_PET_BATTLE_ABILITY_INFO:GetPetOwner,taget,Blizzard_FrameXML\SharedPetBattleTemplates.lua,43
DEFAULT_PET_BATTLE_ABILITY_INFO:HasAura,"auraID, target",Blizzard_FrameXML\SharedPetBattleTemplates.lua,44
DEFAULT_PET_BATTLE_ABILITY_INFO:GetPetType,target,Blizzard_FrameXML\SharedPetBattleTemplates.lua,45
SharedPetBattleAbilityTooltip_GetInfoTable,,Blizzard_FrameXML\SharedPetBattleTemplates.lua,47
SharedPetBattleAbilityTooltip_OnLoad,self,Blizzard_FrameXML\SharedPetBattleTemplates.lua,53
SharedPetBattleAbilityTooltip_SetAbility,"self, abilityInfo, additionalText",Blizzard_FrameXML\SharedPetBattleTemplates.lua,58
SharedPetBattleAbilityTooltip_UpdateSize,self,Blizzard_FrameXML\SharedPetBattleTemplates.lua,206
SharedPetAbilityTooltip_ParseText,"abilityInfo, unparsed",Blizzard_FrameXML\SharedPetBattleTemplates.lua,217
cond,"conditional, onTrue, onFalse",Blizzard_FrameXML\SharedPetBattleTemplates.lua,254
clamp,"value, minClamp, maxClamp",Blizzard_FrameXML\SharedPetBattleTemplates.lua,255
unitState,"stateID, target",Blizzard_FrameXML\SharedPetBattleTemplates.lua,258
unitPower,target,Blizzard_FrameXML\SharedPetBattleTemplates.lua,264
unitSpeed,target,Blizzard_FrameXML\SharedPetBattleTemplates.lua,270
unitMaxHealth,target,Blizzard_FrameXML\SharedPetBattleTemplates.lua,276
unitHealth,target,Blizzard_FrameXML\SharedPetBattleTemplates.lua,282
unitIsAlly,target,Blizzard_FrameXML\SharedPetBattleTemplates.lua,288
unitHasAura,"auraID, target",Blizzard_FrameXML\SharedPetBattleTemplates.lua,294
unitPetType,target,Blizzard_FrameXML\SharedPetBattleTemplates.lua,300
isInBattle,,Blizzard_FrameXML\SharedPetBattleTemplates.lua,306
numTurns,abilityID,Blizzard_FrameXML\SharedPetBattleTemplates.lua,309
currentCooldown,,Blizzard_FrameXML\SharedPetBattleTemplates.lua,316
maxCooldown,abilityID,Blizzard_FrameXML\SharedPetBattleTemplates.lua,319
abilityPetType,abilityID,Blizzard_FrameXML\SharedPetBattleTemplates.lua,326
petTypeName,petType,Blizzard_FrameXML\SharedPetBattleTemplates.lua,333
remainingDuration,,Blizzard_FrameXML\SharedPetBattleTemplates.lua,336
getProcIndex,"procType, abilityID",Blizzard_FrameXML\SharedPetBattleTemplates.lua,339
abilityName,abilityID,Blizzard_FrameXML\SharedPetBattleTemplates.lua,349
abilityHasHints,abilityID,Blizzard_FrameXML\SharedPetBattleTemplates.lua,356
padState,"stateID, target",Blizzard_FrameXML\SharedPetBattleTemplates.lua,363
weatherState,stateID,Blizzard_FrameXML\SharedPetBattleTemplates.lua,369
abilityStateMod,"stateID, abilityID",Blizzard_FrameXML\SharedPetBattleTemplates.lua,372
FormatDamageHelper,"baseDamage, attackType, defenderType",Blizzard_FrameXML\SharedPetBattleTemplates.lua,401
FormatHealingHelper,"baseHeal, healingDone, healingTaken",Blizzard_FrameXML\SharedPetBattleTemplates.lua,429
OnlyInBattle,text,Blizzard_FrameXML\SharedPetBattleTemplates.lua,458
School,abilityID,Blizzard_FrameXML\SharedPetBattleTemplates.lua,459
SumStates,"stateID, target",Blizzard_FrameXML\SharedPetBattleTemplates.lua,460
AccuracyBonus,...,Blizzard_FrameXML\SharedPetBattleTemplates.lua,467
SimpleAccuracy,...,Blizzard_FrameXML\SharedPetBattleTemplates.lua,468
StandardAccuracy,...,Blizzard_FrameXML\SharedPetBattleTemplates.lua,469
AttackBonus,,Blizzard_FrameXML\SharedPetBattleTemplates.lua,490
SimpleDamage,...,Blizzard_FrameXML\SharedPetBattleTemplates.lua,491
StandardDamage,...,Blizzard_FrameXML\SharedPetBattleTemplates.lua,492
FormatDamage,"baseDamage, abilityID, affected",Blizzard_FrameXML\SharedPetBattleTemplates.lua,506
HealingBonus,,Blizzard_FrameXML\SharedPetBattleTemplates.lua,519
SimpleHealing,...,Blizzard_FrameXML\SharedPetBattleTemplates.lua,520
StandardHealing,...,Blizzard_FrameXML\SharedPetBattleTemplates.lua,521
FormatHealing,baseHealing,Blizzard_FrameXML\SharedPetBattleTemplates.lua,524
SharedPetAbilityTooltip_ParseExpressionInsecure,expression,Blizzard_FrameXML\SharedPetBattleTemplates.lua,536
SharedPetAbilityTooltip_ParseExpression,expression,Blizzard_FrameXML\SharedPetBattleTemplates.lua,565
SpellActivationOverlayMixin:OnLoad,,Blizzard_FrameXML\SpellActivationOverlay.lua,7
SpellActivationOverlayMixin:OnEvent,"event, ...",Blizzard_FrameXML\SpellActivationOverlay.lua,23
SpellActivationOverlayMixin:ShowAllOverlays,"spellID, texturePath, locationType, scale, r, g, b",Blizzard_FrameXML\SpellActivationOverlay.lua,56
SpellActivationOverlayMixin:ShowOverlay,"spellID, texturePath, position, scale, r, g, b",Blizzard_FrameXML\SpellActivationOverlay.lua,76
SpellActivationOverlayMixin:GetOverlay,"spellID, position",Blizzard_FrameXML\SpellActivationOverlay.lua,139
SpellActivationOverlayMixin:HideOverlays,spellID,Blizzard_FrameXML\SpellActivationOverlay.lua,155
SpellActivationOverlayMixin:HideAllOverlays,,Blizzard_FrameXML\SpellActivationOverlay.lua,165
SpellActivationOverlayMixin:ReleaseOverlay,overlay,Blizzard_FrameXML\SpellActivationOverlay.lua,171
SpellActivationOverlayTextureMixin:OnShow,,Blizzard_FrameXML\SpellActivationOverlay.lua,178
SpellActivationOverlayFadeInAnimMixin:OnPlay,,Blizzard_FrameXML\SpellActivationOverlay.lua,184
SpellActivationOverlayFadeInAnimMixin:OnFinished,,Blizzard_FrameXML\SpellActivationOverlay.lua,188
SpellActivationOverlayFadeOutAnimMixin:OnFinished,,Blizzard_FrameXML\SpellActivationOverlay.lua,196
SplashFrameMixin:OnLoad,,Blizzard_FrameXML\SplashFrame.lua,9
SplashFrameMixin:OnShow,,Blizzard_FrameXML\SplashFrame.lua,15
SplashFrameMixin:OnHide,,Blizzard_FrameXML\SplashFrame.lua,21
SplashFrameMixin:OnEvent,"event, ...",Blizzard_FrameXML\SplashFrame.lua,35
SplashFrameMixin:SetupFrame,screenInfo,Blizzard_FrameXML\SplashFrame.lua,48
SplashFrameMixin:OpenQuestDialog,,Blizzard_FrameXML\SplashFrame.lua,82
SplashFrameMixin:Close,,Blizzard_FrameXML\SplashFrame.lua,90
StartQuestButtonMixin:SetButtonState,enabled,Blizzard_FrameXML\SplashFrame.lua,105
StartQuestButtonMixin:OnMouseUp,,Blizzard_FrameXML\SplashFrame.lua,117
StartQuestButtonMixin:OnMouseDown,,Blizzard_FrameXML\SplashFrame.lua,121
StartQuestButtonMixin:OnEnter,,Blizzard_FrameXML\SplashFrame.lua,127
StartQuestButtonMixin:OnLeave,,Blizzard_FrameXML\SplashFrame.lua,131
StartQuestButtonMixin:OnClick,,Blizzard_FrameXML\SplashFrame.lua,135
SplashFeatureFrameMixin:Setup,"title, description",Blizzard_FrameXML\SplashFrame.lua,144
SplashRightFeatureFrameMixin:GetQuestID,screenInfo,Blizzard_FrameXML\SplashFrame.lua,151
SplashRightFeatureFrameMixin:ShouldShowQuestButton,,Blizzard_FrameXML\SplashFrame.lua,159
SplashRightFeatureFrameMixin:Setup,screenInfo,Blizzard_FrameXML\SplashFrame.lua,175
SplashRightFeatureFrameMixin:SetStartQuestButtonDisplay,screenInfo,Blizzard_FrameXML\SplashFrame.lua,184
TabardModelFrameMixin:OnLoad,,Blizzard_FrameXML\TabardModelFrameMixin.lua,6
TabardModelFrameMixin:OnUpdate,elapsedTime,Blizzard_FrameXML\TabardModelFrameMixin.lua,11
TalentFrame_Load,TalentFrame,Blizzard_FrameXML\TalentFrameBase.lua,14
TalentFrame_Clear,TalentFrame,Blizzard_FrameXML\TalentFrameBase.lua,18
TalentFrame_Update,"TalentFrame, talentUnit",Blizzard_FrameXML\TalentFrameBase.lua,34
TalentFrame_UpdateRowGlow,"talentRow, restartGlow",Blizzard_FrameXML\TalentFrameBase.lua,151
TalentFrame_UpdateSpecInfoCache,"cache, inspect, pet, talentGroup",Blizzard_FrameXML\TalentFrameBase.lua,176
PvpTalentSlotMixin:OnLoad,,Blizzard_FrameXML\TalentFrameBase.lua,203
PvpTalentSlotMixin:OnShow,,Blizzard_FrameXML\TalentFrameBase.lua,208
PvpTalentSlotMixin:OnHide,,Blizzard_FrameXML\TalentFrameBase.lua,212
PvpTalentSlotMixin:OnEvent,event,Blizzard_FrameXML\TalentFrameBase.lua,216
PvpTalentSlotMixin:GetSelectedTalent,,Blizzard_FrameXML\TalentFrameBase.lua,223
PvpTalentSlotMixin:SetSelectedTalent,talentID,Blizzard_FrameXML\TalentFrameBase.lua,227
PvpTalentSlotMixin:SetUp,slotIndex,Blizzard_FrameXML\TalentFrameBase.lua,236
PvpTalentSlotMixin:SetPendingTalentRemoval,isPending,Blizzard_FrameXML\TalentFrameBase.lua,255
PvpTalentSlotMixin:IsPendingTalentRemoval,,Blizzard_FrameXML\TalentFrameBase.lua,259
PvpTalentSlotMixin:Update,,Blizzard_FrameXML\TalentFrameBase.lua,263
PvpTalentSlotMixin:OnEnter,,Blizzard_FrameXML\TalentFrameBase.lua,301
PvpTalentSlotMixin:OnClick,,Blizzard_FrameXML\TalentFrameBase.lua,329
PvpTalentSlotMixin:OnDragStart,,Blizzard_FrameXML\TalentFrameBase.lua,340
TalkingHeadFrameMixin:OnLoad,,Blizzard_FrameXML\TalkingHeadUI.lua,3
TalkingHeadFrameMixin:OnEvent,"event, ...",Blizzard_FrameXML\TalkingHeadUI.lua,25
TalkingHeadFrameMixin:CloseImmediately,,Blizzard_FrameXML\TalkingHeadUI.lua,42
TalkingHeadFrameMixin:OnClick,button,Blizzard_FrameXML\TalkingHeadUI.lua,57
TalkingHeadFrameMixin:FadeinFrames,,Blizzard_FrameXML\TalkingHeadUI.lua,66
TalkingHeadFrameMixin:FadeoutFrames,,Blizzard_FrameXML\TalkingHeadUI.lua,78
TalkingHeadFrameMixin:Reset,"text, name",Blizzard_FrameXML\TalkingHeadUI.lua,87
TalkingHeadFrameMixin:PlayCurrent,,Blizzard_FrameXML\TalkingHeadUI.lua,125
TalkingHeadFrameMixin:Close,,Blizzard_FrameXML\TalkingHeadUI.lua,208
TalkingHeadFrameMixin:Close_OnFinished,,Blizzard_FrameXML\TalkingHeadUI.lua,230
TalkingHeadFrameMixin:UpdateShownState,,Blizzard_FrameXML\TalkingHeadUI.lua,236
TalkingHeadFrameModelMixin:OnLoad,,Blizzard_FrameXML\TalkingHeadUI.lua,242
